CustomerKey,CustomerID,CustomerSegment,State,City,Gender,AgeGroup,IncomeGroup,KYCStatus,JoinYear,CustomerTenure
1,CUST00001,Gold,Karnataka,Mangaluru,Male,36-45,Middle,Verified,2023,3
2,CUST00002,Standard,Maharashtra,Mumbai,Female,18-25,Low,Verified,2019,7
3,CUST00003,Standard,Maharashtra,Pune,Male,26-35,Middle,Verified,2026,0
4,CUST00004,Gold,Karnataka,Mangaluru,Female,26-35,High,Verified,2022,4
5,CUST00005,Standard,Karnataka,Mangaluru,Male,18-25,High,Verified,2022,4
6,CUST00006,Gold,Karnataka,Bengaluru,Female,36-45,Middle,Verified,2022,4
7,CUST00007,Premium,Karnataka,Mysuru,Female,26-35,Low,Verified,2023,3
8,CUST00008,Standard,Tamil Nadu,Coimbatore,Female,36-45,High,Verified,2026,0
9,CUST00009,Gold,Gujarat,Vadodara,Male,26-35,High,Verified,2026,0
10,CUST00010,Standard,Delhi,New Delhi,Male,18-25,Low,Verified,2019,7
11,CUST00011,Standard,Kerala,Thiruvananthapuram,Female,26-35,Middle,Verified,2022,4
12,CUST00012,Standard,Gujarat,Ahmedabad,Male,36-45,Low,Verified,2024,2
13,CUST00013,Standard,Uttar Pradesh,Noida,Female,18-25,Middle,Verified,2024,2
14,CUST00014,Standard,Rajasthan,Jaipur,Male,26-35,High,Verified,2022,4
15,CUST00015,Standard,Maharashtra,Nagpur,Male,36-45,High,Pending,2019,7
16,CUST00016,Gold,Tamil Nadu,Chennai,Male,36-45,Middle,Verified,2023,3
17,CUST00017,Gold,Tamil Nadu,Madurai,Female,60+,High,Verified,2023,3
18,CUST00018,Premium,Delhi,New Delhi,Female,18-25,Low,Verified,2024,2
19,CUST00019,Standard,Maharashtra,Nagpur,Female,26-35,Middle,Pending,2020,6
20,CUST00020,Standard,Uttar Pradesh,Lucknow,Female,18-25,Middle,Verified,2021,5
21,CUST00021,Standard,Maharashtra,Mumbai,Female,26-35,Middle,Verified,2019,7
22,CUST00022,Standard,Rajasthan,Jaipur,Female,18-25,Low,Verified,2025,1
23,CUST00023,Standard,Uttar Pradesh,Kanpur,Female,60+,Low,Verified,2025,1
24,CUST00024,Gold,Telangana,Warangal,Female,36-45,Middle,Verified,2026,0
25,CUST00025,Standard,Maharashtra,Pune,Female,18-25,Middle,Verified,2024,2
26,CUST00026,Standard,Gujarat,Vadodara,Male,26-35,Middle,Verified,2026,0
27,CUST00027,Standard,Karnataka,Bengaluru,Female,18-25,Low,Verified,2025,1
28,CUST00028,Standard,Karnataka,Mangaluru,Female,26-35,Middle,Verified,2025,1
29,CUST00029,Standard,Uttar Pradesh,Lucknow,Female,36-45,Middle,Verified,2021,5
30,CUST00030,Standard,Delhi,New Delhi,Male,18-25,Middle,Verified,2025,1
31,CUST00031,Gold,Tamil Nadu,Chennai,Female,18-25,Low,Verified,2025,1
32,CUST00032,Standard,Kerala,Thiruvananthapuram,Female,26-35,Middle,Verified,2026,0
33,CUST00033,Gold,Maharashtra,Nagpur,Male,36-45,Low,Verified,2023,3
34,CUST00034,Standard,Telangana,Hyderabad,Female,46-60,High,Verified,2025,1
35,CUST00035,Standard,Telangana,Warangal,Male,26-35,High,Verified,2024,2
36,CUST00036,Gold,Tamil Nadu,Madurai,Female,60+,Middle,Verified,2022,4
37,CUST00037,Standard,Uttar Pradesh,Noida,Male,26-35,Middle,Verified,2023,3
38,CUST00038,Standard,Rajasthan,Jaipur,Female,26-35,Middle,Verified,2025,1
39,CUST00039,Gold,Tamil Nadu,Chennai,Male,18-25,Low,Verified,2024,2
40,CUST00040,Standard,Tamil Nadu,Madurai,Male,60+,Low,Verified,2026,0
41,CUST00041,Standard,Gujarat,Vadodara,Female,36-45,High,Verified,2022,4
42,CUST00042,Gold,West Bengal,Durgapur,Male,18-25,Low,Verified,2026,0
43,CUST00043,Gold,West Bengal,Siliguri,Female,36-45,High,Verified,2024,2
