DateKey,TimeKey,DateTime,Date,Year,Quarter,MonthNo,Month,Day,Weekday,Weekend,Hour,TimeBucket
2026010100,1,2026-01-01 00:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,0,Night
2026010101,2,2026-01-01 01:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,1,Night
2026010102,3,2026-01-01 02:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,2,Night
2026010103,4,2026-01-01 03:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,3,Night
2026010104,5,2026-01-01 04:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,4,Night
2026010105,6,2026-01-01 05:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,5,Night
2026010106,7,2026-01-01 06:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,6,Morning
2026010107,8,2026-01-01 07:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,7,Morning
2026010108,9,2026-01-01 08:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,8,Morning
2026010109,10,2026-01-01 09:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,9,Morning
2026010110,11,2026-01-01 10:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,10,Morning
2026010111,12,2026-01-01 11:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,11,Morning
2026010112,13,2026-01-01 12:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,12,Afternoon
2026010113,14,2026-01-01 13:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,13,Afternoon
2026010114,15,2026-01-01 14:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,14,Afternoon
2026010115,16,2026-01-01 15:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,15,Afternoon
2026010116,17,2026-01-01 16:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,16,Afternoon
2026010117,18,2026-01-01 17:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,17,Afternoon
2026010118,19,2026-01-01 18:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,18,Evening
2026010119,20,2026-01-01 19:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,19,Evening
2026010120,21,2026-01-01 20:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,20,Evening
2026010121,22,2026-01-01 21:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,21,Evening
2026010122,23,2026-01-01 22:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,22,Evening
2026010123,24,2026-01-01 23:00:00,2026-01-01,2026,1,1,January,1,Thursday,Weekday,23,Evening
2026010200,25,2026-01-02 00:00:00,2026-01-02,2026,1,1,January,2,Friday,Weekday,0,Night
2026010201,26,2026-01-02 01:00:00,2026-01-02,2026,1,1,January,2,Friday,Weekday,1,Night
2026010202,27,2026-01-02 02:00:00,2026-01-02,2026,1,1,January,2,Friday,Weekday,2,Night
2026010203,28,2026-01-02 03:00:00,2026-01-02,2026,1,1,January,2,Friday,Weekday,3,Night
2026010204,29,2026-01-02 04:00:00,2026-01-02,2026,1,1,January,2,Friday,Weekday,4,Night
2026010205,30,2026-01-02 05:00:00,2026-01-02,2026,1,1,January,2,Friday,Weekday,5,Night
