MerchantKey,MerchantID,MerchantCategory,BusinessSize,State,City,SettlementCycle,PartnerSince,MerchantTenure
1,MER00001,E-Commerce,Small,Gujarat,Ahmedabad,T+1,2025,1
2,MER00002,Fuel,Enterprise,Maharashtra,Nagpur,T+1,2023,3
3,MER00003,Fuel,Small,Rajasthan,Jaipur,T+1,2025,1
4,MER00004,Healthcare,Enterprise,Telangana,Warangal,T+1,2021,5
5,MER00005,Utilities,Medium,West Bengal,Siliguri,T+1,2023,3
6,MER00006,Retail,Small,Delhi,New Delhi,T+1,2023,3
7,MER00007,Travel,Small,Karnataka,Bengaluru,T+1,2022,4
8,MER00008,Travel,Small,Uttar Pradesh,Kanpur,T+2,2024,2
9,MER00009,Healthcare,Small,Tamil Nadu,Madurai,T+2,2025,1
10,MER00010,Fuel,Small,West Bengal,Siliguri,T+1,2026,0
11,MER00011,E-Commerce,Enterprise,Karnataka,Bengaluru,T+1,2025,1
12,MER00012,Food & Dining,Medium,Delhi,New Delhi,T+1,2024,2
13,MER00013,Food & Dining,Small,Gujarat,Surat,T+1,2020,6
14,MER00014,Food & Dining,Small,Uttar Pradesh,Lucknow,T+1,2024,2
15,MER00015,E-Commerce,Small,Delhi,New Delhi,T+1,2020,6
16,MER00016,Retail,Small,Kerala,Kochi,T+1,2023,3
17,MER00017,Retail,Small,West Bengal,Siliguri,T+1,2026,0
18,MER00018,Retail,Medium,Kerala,Kochi,T+2,2025,1
19,MER00019,E-Commerce,Small,Karnataka,Bengaluru,T+1,2024,2
20,MER00020,Food & Dining,Small,Tamil Nadu,Madurai,T+1,2024,2
21,MER00021,Retail,Small,Uttar Pradesh,Lucknow,T+1,2024,2
22,MER00022,Healthcare,Small,Gujarat,Ahmedabad,T+2,2023,3
23,MER00023,Education,Medium,Gujarat,Ahmedabad,T+1,2020,6
24,MER00024,E-Commerce,Medium,Telangana,Hyderabad,T+1,2023,3
25,MER00025,Entertainment,Small,West Bengal,Kolkata,T+1,2024,2
26,MER00026,Healthcare,Small,Uttar Pradesh,Noida,T+1,2023,3
27,MER00027,Healthcare,Small,West Bengal,Durgapur,T+1,2026,0
28,MER00028,Food & Dining,Medium,Delhi,New Delhi,T+3,2019,7
29,MER00029,E-Commerce,Enterprise,Gujarat,Ahmedabad,T+1,2019,7
30,MER00030,E-Commerce,Small,Telangana,Hyderabad,T+1,2026,0
31,MER00031,Retail,Medium,Kerala,Thiruvananthapuram,T+1,2024,2
32,MER00032,Retail,Small,Delhi,New Delhi,T+1,2024,2
33,MER00033,Utilities,Small,Telangana,Hyderabad,T+1,2025,1
34,MER00034,Food & Dining,Small,Uttar Pradesh,Kanpur,T+1,2024,2
35,MER00035,Healthcare,Small,Delhi,New Delhi,T+3,2023,3
36,MER00036,E-Commerce,Small,Kerala,Kochi,T+1,2025,1
37,MER00037,E-Commerce,Small,Delhi,New Delhi,T+3,2022,4
38,MER00038,Travel,Small,Karnataka,Mysuru,T+1,2020,6
39,MER00039,E-Commerce,Enterprise,Telangana,Warangal,T+1,2026,0
40,MER00040,Retail,Small,Uttar Pradesh,Noida,T+1,2023,3
